Timestamp,Temperature (°C),Humidity (%)
2025-01-01 00:00:00,22.49,31.89
2025-01-01 01:00:00,34.01,68.18
2025-01-01 02:00:00,29.64,48.86
2025-01-01 03:00:00,26.97,60.51
2025-01-01 04:00:00,18.12,84.45
2025-01-01 05:00:00,18.12,44.96
2025-01-01 06:00:00,16.16,54.62
2025-01-01 07:00:00,32.32,75.33
2025-01-01 08:00:00,27.02,43.73
2025-01-01 09:00:00,29.16,34.62
2025-01-01 10:00:00,15.41,47.39
2025-01-01 11:00:00,34.4,39.67
2025-01-01 12:00:00,31.65,85.78
2025-01-01 13:00:00,19.25,78.49
2025-01-01 14:00:00,18.64,68.0
2025-01-01 15:00:00,18.67,82.29
2025-01-01 16:00:00,21.08,78.22
2025-01-01 17:00:00,25.5,41.19
2025-01-01 18:00:00,23.64,83.55
2025-01-01 19:00:00,20.82,62.36
2025-01-01 20:00:00,27.24,78.45
2025-01-01 21:00:00,17.79,83.77
2025-01-01 22:00:00,20.84,49.08
2025-01-01 23:00:00,22.33,36.6
2025-01-02 00:00:00,24.12,43.68
2025-01-02 01:00:00,30.7,55.63
2025-01-02 02:00:00,18.99,79.08
2025-01-02 03:00:00,25.28,81.64
2025-01-02 04:00:00,26.85,30.42
2025-01-02 05:00:00,15.93,60.64
2025-01-02 06:00:00,27.15,55.04
2025-01-02 07:00:00,18.41,43.33
2025-01-02 08:00:00,16.3,37.19
2025-01-02 09:00:00,33.98,50.26
2025-01-02 10:00:00,34.31,86.57
2025-01-02 11:00:00,31.17,49.39
2025-01-02 12:00:00,21.09,61.13
2025-01-02 13:00:00,16.95,72.18
2025-01-02 14:00:00,28.68,51.82
2025-01-02 15:00:00,23.8,88.31
2025-01-02 16:00:00,17.44,87.75
2025-01-02 17:00:00,24.9,45.11
2025-01-02 18:00:00,15.69,59.83
2025-01-02 19:00:00,33.19,48.05
2025-01-02 20:00:00,20.18,47.09
2025-01-02 21:00:00,28.25,32.21
2025-01-02 22:00:00,21.23,66.57
2025-01-02 23:00:00,25.4,60.16
2025-01-03 00:00:00,25.93,33.09
2025-01-03 01:00:00,18.7,46.72
2025-01-03 02:00:00,34.39,84.5
2025-01-03 03:00:00,30.5,44.37
2025-01-03 04:00:00,33.79,38.69
2025-01-03 05:00:00,32.9,59.37
2025-01-03 06:00:00,26.96,89.14
2025-01-03 07:00:00,33.44,44.52
2025-01-03 08:00:00,16.77,70.33
2025-01-03 09:00:00,18.92,75.7
2025-01-03 10:00:00,15.9,44.26
2025-01-03 11:00:00,21.51,73.69
2025-01-03 12:00:00,22.77,52.07
2025-01-03 13:00:00,20.43,67.94
2025-01-03 14:00:00,31.57,68.01
2025-01-03 15:00:00,22.14,62.15
2025-01-03 16:00:00,20.62,35.42
2025-01-03 17:00:00,25.85,80.12
2025-01-03 18:00:00,17.82,49.25
2025-01-03 19:00:00,31.04,41.19
2025-01-03 20:00:00,16.49,32.45
2025-01-03 21:00:00,34.74,65.45
2025-01-03 22:00:00,30.44,70.65
2025-01-03 23:00:00,18.97,31.0
2025-01-04 00:00:00,15.11,60.73
2025-01-04 01:00:00,31.31,43.59
2025-01-04 02:00:00,29.14,68.71
2025-01-04 03:00:00,29.58,40.46
2025-01-04 04:00:00,30.43,71.46
2025-01-04 05:00:00,16.48,53.2
2025-01-04 06:00:00,22.17,86.2
2025-01-04 07:00:00,17.32,38.25
2025-01-04 08:00:00,32.26,50.46
2025-01-04 09:00:00,27.47,36.81
2025-01-04 10:00:00,21.62,85.48
2025-01-04 11:00:00,16.27,82.64
2025-01-04 12:00:00,21.22,45.48
2025-01-04 13:00:00,21.5,69.6
2025-01-04 14:00:00,29.59,79.03
2025-01-04 15:00:00,27.75,63.31
2025-01-04 16:00:00,32.74,61.78
2025-01-04 17:00:00,24.44,44.51
2025-01-04 18:00:00,17.39,35.59
2025-01-04 19:00:00,29.26,83.83
2025-01-04 20:00:00,30.22,84.03
2025-01-04 21:00:00,26.23,67.99
2025-01-04 22:00:00,30.42,50.34
2025-01-04 23:00:00,24.88,50.95
2025-01-05 00:00:00,25.45,73.56
2025-01-05 01:00:00,23.55,83.83
2025-01-05 02:00:00,15.51,83.23
2025-01-05 03:00:00,17.16,76.79
